year,Aboard,Fatalities,Ground
1908,2,1,0
1912,5,5,0
1913,51,45,0
1915,60,40,0
1916,109,108,0
1917,124,124,0
1918,65,65,0
1919,5,5,0
1920,31,24,0
1921,69,68,1
1922,91,80,5
1923,80,77,0
1924,18,18,0
1925,68,39,0
1926,45,30,0
1927,73,54,0
1928,134,124,0
1929,152,119,0
1930,176,138,0
1931,113,94,0
1932,87,75,0
1933,212,192,11
1934,162,126,0
1935,273,226,2
1936,312,227,0
1937,331,203,1
1938,476,414,53
1939,184,154,22
1940,209,169,0
1941,279,229,0
1942,442,363,0
1943,682,642,120
1944,682,601,63
1945,1429,1314,48
1946,1498,1306,43
1947,1569,1233,6
1948,1320,1069,1
1949,1524,1085,4
1950,1553,1382,12
1951,1328,1166,6
1952,1501,1200,66
1953,1492,1188,10
1954,1159,973,7
1955,1180,864,0
1956,1498,989,22
1957,1477,1004,12
1958,1633,1266,7
1959,1249,1027,36
1960,1914,1565,37
1961,1831,1411,16
1962,2445,2047,5
1963,1546,1303,96
1964,1717,1354,0
1965,2130,1636,22
1966,1812,1559,141
1967,2339,1789,71
1968,2928,2156,16
1969,2383,1799,116
1970,2681,2049,9
1971,2567,1932,0
1972,3635,2937,30
1973,3433,2485,16
1974,3064,2318,0
1975,2308,1639,9
1976,2629,2059,143
1977,2662,2138,10
1978,2722,1558,23
1979,2457,2011,38
1980,2701,1827,1
1981,1550,1230,60
1982,3163,1787,15
1983,2352,1611,31
1984,1647,1228,72
1985,3480,2670,1
1986,2568,1471,51
1987,2220,1713,58
1988,3037,2034,86
1989,3643,2293,79
1990,2396,1312,80
1991,2459,1839,5
1992,2965,2122,69
1993,2419,1568,0
1994,3106,1876,24
1995,2112,1593,0
1996,3058,2386,284
1997,2485,1673,44
1998,2011,1544,48
1999,2758,970,36
2000,2357,1429,23
2001,2111,1398,5641
2002,1798,1437,167
2003,1508,1276,24
2004,937,728,2
2005,2164,1306,59
2006,1413,1136,4
2007,1364,931,57
2008,1463,820,60
2009,891,581,3